Getting declarations... 5222 found
(caching disabled)
Checking: CoeHTC... ok
Checking: CoeHTC.mk... ok
Checking: CoeHTC.rec... ok
Checking: Lean.Grind.Config... ok
Checking: Bool... ok
Checking: Bool.false... ok
Checking: Bool.true... ok
Checking: Nat... ok
Checking: Nat.zero... ok
Checking: Nat.succ... ok
Checking: Lean.Grind.Config.mk... ok
Checking: Lean.Grind.Config.ring... ok
Checking: semiOutParam... ok
Checking: MonadReaderOf... ok
Checking: MonadReaderOf.mk... ok
Checking: MonadReaderOf.read... ok
Checking: outParam... ok
Checking: EStateM.Backtrackable... ok
Checking: EStateM.Backtrackable.mk... ok
Checking: Eq... ok
Checking: Eq.refl... ok
Checking: EStateM.Backtrackable.rec... ok
Checking: EStateM.Backtrackable.casesOn... ok
Checking: EStateM.Backtrackable.noConfusionType... ok
Checking: Eq.rec... ok
Checking: Eq.ndrec... ok
Checking: EStateM.Backtrackable.noConfusion... ok
Checking: Subsingleton... ok
Checking: Subsingleton.intro... ok
Checking: Subsingleton.rec... ok
Checking: Lean.ParserDescr... ok
Checking: Lean.Name... ok
Checking: Lean.Name.anonymous... ok
Checking: String... ok
Checking: ByteArray... ok
Checking: Array... ok
Checking: List... ok
Checking: List.nil... ok
Checking: List.cons... ok
Checking: Array.mk... ok
Checking: UInt8... ok
Checking: BitVec... ok
Checking: Fin... ok
Checking: LT... ok
Checking: LT.mk... ok
Checking: LT.lt... ok
Checking: Nat.le... ok
Checking: Nat.le.refl... ok
Checking: Nat.le.step... ok
Checking: Nat.lt... ok
Checking: instLTNat... ok
Checking: Fin.mk... ok
Checking: HPow... ok
Checking: HPow.mk... ok
Checking: HPow.hPow... ok
Checking: Pow... ok
Checking: Pow.mk... ok
Checking: Pow.pow... ok
Checking: instHPow... ok
Checking: NatPow... ok
Checking: NatPow.mk... ok
Checking: NatPow.pow... ok
Checking: instPowNat... ok
Checking: Nat.rec... ok
Checking: PUnit... ok
Checking: PUnit.unit... ok
Checking: PProd... ok
Checking: PProd.mk... ok
Checking: Nat.below... ok
Checking: Nat.brecOn.go... ok
Checking: Nat.brecOn... ok
Checking: Unit... ok
Checking: OfNat... ok
Checking: OfNat.mk... ok
Checking: OfNat.ofNat... ok
Checking: instOfNatNat... ok
Checking: Nat.casesOn... ok
Checking: Unit.unit... ok
Checking: Nat.pow.match_1... ok
Checking: Nat.mul.match_1... ok
Checking: Nat.add.match_1... ok
Checking: Nat.add... ok
Checking: Nat.mul... ok
Checking: Nat.pow... ok
Checking: instNatPowNat... ok
Checking: BitVec.ofFin... ok
Checking: UInt8.ofBitVec... ok
Checking: ByteArray.mk... ok
Checking: ByteArray.IsValidUTF8... ok
Checking: Char... ok
Checking: UInt32... ok
Checking: UInt32.ofBitVec... ok
Checking: Or... ok
Checking: Or.inl... ok
Checking: Or.inr... ok
Checking: And... ok
Checking: And.intro... ok
Checking: Nat.isValidChar... ok
Checking: Fin.val... ok
Checking: BitVec.toFin... ok
Checking: BitVec.toNat... ok
Checking: UInt32.toBitVec... ok
Checking: UInt32.toNat... ok
Checking: UInt32.isValidChar... ok
Checking: Char.mk... ok
Checking: List.rec... ok
Checking: List.below... ok
Checking: List.brecOn.go... ok
Checking: List.brecOn... ok
Checking: List.casesOn... ok
Checking: List.toByteArray.match_1... ok
Checking: ByteArray.rec... ok
Checking: ByteArray.casesOn... ok
Checking: ByteArray.push.match_1... ok
Checking: List.concat.match_1... ok
Checking: List.concat... ok
Checking: Array.toList... ok
