Getting declarations... 10953 found
(caching disabled)
Checking: List... ok
Checking: List.nil... ok
Checking: List.cons... ok
Checking: Lean.Name... ok
Checking: Lean.Name.anonymous... ok
Checking: String... ok
Checking: ByteArray... ok
Checking: Array... ok
Checking: Array.mk... ok
Checking: UInt8... ok
Checking: Nat... ok
Checking: Nat.zero... ok
Checking: Nat.succ... ok
Checking: BitVec... ok
Checking: Fin... ok
Checking: LT... ok
Checking: LT.mk... ok
Checking: LT.lt... ok
Checking: Nat.le... ok
Checking: Nat.le.refl... ok
Checking: Nat.le.step... ok
Checking: Nat.lt... ok
Checking: instLTNat... ok
Checking: Fin.mk... ok
Checking: outParam... ok
Checking: HPow... ok
Checking: HPow.mk... ok
Checking: HPow.hPow... ok
Checking: Pow... ok
Checking: Pow.mk... ok
Checking: Pow.pow... ok
Checking: instHPow... ok
Checking: NatPow... ok
Checking: NatPow.mk... ok
Checking: NatPow.pow... ok
Checking: instPowNat... ok
Checking: Nat.rec... ok
Checking: PUnit... ok
Checking: PUnit.unit... ok
Checking: PProd... ok
Checking: PProd.mk... ok
Checking: Nat.below... ok
Checking: Nat.brecOn.go... ok
Checking: Nat.brecOn... ok
Checking: Unit... ok
Checking: OfNat... ok
Checking: OfNat.mk... ok
Checking: OfNat.ofNat... ok
Checking: instOfNatNat... ok
Checking: Nat.casesOn... ok
Checking: Unit.unit... ok
Checking: Nat.pow.match_1... ok
Checking: Nat.mul.match_1... ok
Checking: Nat.add.match_1... ok
Checking: Nat.add... ok
Checking: Nat.mul... ok
Checking: Nat.pow... ok
Checking: instNatPowNat... ok
Checking: BitVec.ofFin... ok
Checking: UInt8.ofBitVec... ok
Checking: ByteArray.mk... ok
Checking: ByteArray.IsValidUTF8... ok
Checking: Char... ok
Checking: UInt32... ok
Checking: UInt32.ofBitVec... ok
Checking: Or... ok
Checking: Or.inl... ok
Checking: Or.inr... ok
Checking: And... ok
Checking: And.intro... ok
Checking: Nat.isValidChar... ok
Checking: Fin.val... ok
Checking: BitVec.toFin... ok
Checking: BitVec.toNat... ok
Checking: UInt32.toBitVec... ok
Checking: UInt32.toNat... ok
Checking: UInt32.isValidChar... ok
Checking: Char.mk... ok
Checking: Eq... ok
Checking: Eq.refl... ok
Checking: List.rec... ok
Checking: List.below... ok
Checking: List.brecOn.go... ok
Checking: List.brecOn... ok
Checking: List.casesOn... ok
Checking: List.toByteArray.match_1... ok
Checking: ByteArray.rec... ok
Checking: ByteArray.casesOn... ok
Checking: ByteArray.push.match_1... ok
Checking: List.concat.match_1... ok
Checking: List.concat... ok
Checking: Array.toList... ok
Checking: Array.push... ok
Checking: ByteArray.push... ok
Checking: List.toByteArray.loop... ok
Checking: Array.emptyWithCapacity... ok
Checking: Array.empty... ok
Checking: ByteArray.emptyWithCapacity... ok
Checking: ByteArray.empty... ok
Checking: List.toByteArray... ok
Checking: List.flatten.match_1... ok
Checking: List.append.match_1... ok
Checking: List.append... ok
Checking: List.flatten... ok
Checking: List.length.match_1... ok
Checking: List.map... ok
Checking: List.flatMap... ok
Checking: Char.val... ok
Checking: Decidable... ok
Checking: False... ok
Checking: Not... ok
Checking: Decidable.isFalse... ok
Checking: Decidable.isTrue... ok
Checking: Decidable.rec... ok
Checking: Decidable.casesOn... ok
Checking: ite... ok
Checking: LE... ok
Checking: LE.mk... ok
Checking: LE.le... ok
Checking: instLENat... ok
Checking: dite... ok
Checking: Bool... ok
Checking: Bool.false... ok
Checking: Bool.true... ok
Checking: Nat.ble.match_1... ok
Checking: Nat.ble... ok
Checking: DecidableEq... ok
Checking: Bool.rec... ok
Checking: Bool.casesOn... ok
Checking: Bool.decEq.match_1... ok
Checking: rfl... ok
Checking: Bool.noConfusionType... ok
Checking: Eq.rec... ok
Checking: Eq.ndrec... ok
Checking: Bool.noConfusion... ok
Checking: Bool.decEq... ok
Checking: instDecidableEqBool... ok
Checking: False.rec... ok
Checking: False.elim... ok
Checking: Eq.casesOn... ok
Checking: HEq... ok
Checking: HEq.refl... ok
Checking: _private.Init.Prelude.0.Nat.le_of_ble_eq_true.match_1_1... ok
Checking: _private.Init.Prelude.0.Nat.zero_le.match_1_1... ok
Checking: Nat.zero_le... ok
Checking: Nat.le.below... ok
Checking: Nat.le.below.refl... ok
Checking: Nat.le.below.step... ok
Checking: Nat.le.rec... ok
Checking: Nat.le.brecOn... ok
Checking: Nat.le.below.rec... ok
Checking: Nat.le.below.casesOn... ok
Checking: Eq.symm... ok
Checking: cast... ok
Checking: HEq.rec... ok
Checking: eq_of_heq... ok
Checking: _private.Init.Prelude.0.Nat.succ_le_succ.match_1_4... ok
Checking: HAdd... ok
Checking: HAdd.mk... ok
Checking: HAdd.hAdd... ok
Checking: Add... ok
Checking: Add.mk... ok
Checking: Add.add... ok
Checking: instHAdd... ok
Checking: instAddNat... ok
Checking: Nat.succ_le_succ... ok
Checking: Nat.le_of_ble_eq_true... ok
Checking: absurd... ok
Checking: _private.Init.Prelude.0.Nat.ble_eq_true_of_le.match_1_4... ok
Checking: _private.Init.Prelude.0.Nat.ble_self_eq_true.match_1_1... ok
Checking: Nat.ble_self_eq_true... ok
Checking: _private.Init.Prelude.0.Nat.ble_succ_eq_true.match_1_1... ok
Checking: Nat.ble_succ_eq_true... ok
Checking: Nat.ble_eq_true_of_le... ok
